OBJECTID,ISO_3DIGIT,NAME,2018_mean,2020_mean,2022_mean,2024_mean,2020 - 2018,2022 - 2020,2024 - 2022,2024 - 2018
37,DZA,Algeria,5.55E-05,5.47E-05,5.57E-05,5.38E-05,-8.00E-07,1.00E-06,-1.90E-06,-1.70E-06
15,AGO,Angola,6.45E-05,5.51E-05,5.97E-05,6.19E-05,-9.40E-06,4.60E-06,2.20E-06,-2.60E-06
38,BEN,Benin,5.29E-05,5.05E-05,5.44E-05,5.16E-05,-2.40E-06,3.90E-06,-2.80E-06,-1.30E-06
16,BWA,Botswana,6.10E-05,5.73E-05,5.55E-05,5.99E-05,-3.70E-06,-1.80E-06,4.40E-06,-1.10E-06
2,BFA,Burkina Faso,5.30E-05,4.93E-05,5.21E-05,5.06E-05,-3.70E-06,2.80E-06,-1.50E-06,-2.40E-06
17,BDI,Burundi,5.11E-05,4.16E-05,4.74E-05,4.25E-05,-9.50E-06,5.80E-06,-4.90E-06,-8.60E-06
3,CPV,Cabo Verde,4.74E-05,4.42E-05,4.53E-05,4.39E-05,-3.20E-06,1.10E-06,-1.40E-06,-3.50E-06
39,CMR,Cameroon,5.30E-05,4.79E-05,5.20E-05,4.95E-05,-5.10E-06,4.10E-06,-2.50E-06,-3.50E-06
40,CAF,Central African Republic,5.72E-05,5.01E-05,5.46E-05,5.28E-05,-7.10E-06,4.50E-06,-1.80E-06,-4.40E-06
41,TCD,Chad,5.18E-05,4.88E-05,5.07E-05,4.92E-05,-3.00E-06,1.90E-06,-1.50E-06,-2.60E-06
18,COM,Comoros,4.55E-05,4.25E-05,4.60E-05,4.48E-05,-3.00E-06,3.50E-06,-1.20E-06,-7.00E-07
19,COG,Congo,5.55E-05,4.89E-05,5.54E-05,5.32E-05,-6.60E-06,6.50E-06,-2.20E-06,-2.30E-06
20,COD,Congo DRC,5.74E-05,4.94E-05,5.61E-05,5.42E-05,-8.00E-06,6.70E-06,-1.90E-06,-3.20E-06
4,CIV,Djibouti,4.94E-05,4.51E-05,4.80E-05,4.59E-05,-4.30E-06,2.90E-06,-2.10E-06,-3.50E-06
48,DJI,Egypt,6.04E-05,5.96E-05,6.13E-05,5.95E-05,-8.00E-07,1.70E-06,-1.80E-06,-9.00E-07
49,EGY,Equatorial Guinea,5.04E-05,4.35E-05,5.00E-05,4.65E-05,-6.90E-06,6.50E-06,-3.50E-06,-3.90E-06
42,GNQ,Eritrea,5.05E-05,4.76E-05,4.95E-05,4.82E-05,-2.90E-06,1.90E-06,-1.30E-06,-2.30E-06
50,ERI,Eswatini,9.18E-05,8.11E-05,8.77E-05,9.34E-05,-1.07E-05,6.60E-06,5.70E-06,1.60E-06
30,SWZ,Ethiopia,4.64E-05,4.23E-05,4.64E-05,4.34E-05,-4.10E-06,4.10E-06,-3.00E-06,-3.00E-06
51,ETH,Gabon,5.20E-05,4.60E-05,5.31E-05,5.00E-05,-6.00E-06,7.10E-06,-3.10E-06,-2.00E-06
21,GAB,Gambia,5.36E-05,5.17E-05,5.34E-05,5.29E-05,-1.90E-06,1.70E-06,-5.00E-07,-7.00E-07
5,GMB,Ghana,5.37E-05,5.04E-05,5.41E-05,5.13E-05,-3.30E-06,3.70E-06,-2.80E-06,-2.40E-06
6,GHA,Guinea,5.00E-05,4.97E-05,5.29E-05,5.15E-05,-3.00E-07,3.20E-06,-1.40E-06,1.50E-06
7,GIN,Guinea-Bissau,5.01E-05,4.94E-05,5.19E-05,5.05E-05,-7.00E-07,2.50E-06,-1.40E-06,4.00E-07
8,GNB,Ivory Coast,4.96E-05,4.52E-05,4.91E-05,4.66E-05,-4.40E-06,3.90E-06,-2.50E-06,-3.00E-06
22,KEN,Kenya,4.51E-05,3.88E-05,4.48E-05,3.93E-05,-6.30E-06,6.00E-06,-5.50E-06,-5.80E-06
23,LSO,Lesotho,6.16E-05,6.00E-05,5.65E-05,5.99E-05,-1.60E-06,-3.50E-06,3.40E-06,-1.70E-06
9,LBR,Liberia,4.54E-05,4.22E-05,4.63E-05,4.40E-05,-3.20E-06,4.10E-06,-2.30E-06,-1.40E-06
43,LBY,Libya,5.40E-05,5.34E-05,5.44E-05,5.21E-05,-6.00E-07,1.00E-06,-2.30E-06,-1.90E-06
34,MDG,Madagascar,5.60E-05,5.23E-05,5.15E-05,5.53E-05,-3.70E-06,-8.00E-07,3.80E-06,-7.00E-07
24,MWI,Malawi,5.71E-05,5.03E-05,5.29E-05,5.31E-05,-6.80E-06,2.60E-06,2.00E-07,-4.00E-06
10,MLI,Mali,5.08E-05,4.86E-05,4.97E-05,4.85E-05,-2.20E-06,1.10E-06,-1.20E-06,-2.30E-06
11,MRT,Mauritania,4.98E-05,4.83E-05,4.87E-05,4.72E-05,-1.50E-06,4.00E-07,-1.50E-06,-2.60E-06
12,MAR,Morocco,5.97E-05,5.83E-05,6.00E-05,5.87E-05,-1.40E-06,1.70E-06,-1.30E-06,-1.00E-06
25,MOZ,Mozambique,6.35E-05,5.40E-05,5.54E-05,5.75E-05,-9.50E-06,1.40E-06,2.10E-06,-6.00E-06
26,NAM,Namibia,5.75E-05,5.52E-05,5.32E-05,5.72E-05,-2.30E-06,-2.00E-06,4.00E-06,-3.00E-07
44,NER,Niger,5.01E-05,4.76E-05,4.91E-05,4.76E-05,-2.50E-06,1.50E-06,-1.50E-06,-2.50E-06
45,NGA,Nigeria,5.57E-05,5.38E-05,5.74E-05,5.56E-05,-1.90E-06,3.60E-06,-1.80E-06,-1.00E-07
27,RWA,Rwanda,4.98E-05,4.13E-05,4.63E-05,4.18E-05,-8.50E-06,5.00E-06,-4.50E-06,-8.00E-06
28,STP,Sao Tome and Principe,4.79E-05,4.28E-05,4.90E-05,4.55E-05,-5.10E-06,6.20E-06,-3.50E-06,-2.40E-06
13,SEN,Senegal,5.46E-05,5.15E-05,5.33E-05,5.24E-05,-3.10E-06,1.80E-06,-9.00E-07,-2.20E-06
36,SYC,Seychelles,4.64E-05,4.36E-05,4.65E-05,4.60E-05,-2.80E-06,2.90E-06,-5.00E-07,-4.00E-07
14,SLE,Sierra Leone,4.64E-05,4.72E-05,5.13E-05,4.96E-05,8.00E-07,4.10E-06,-1.70E-06,3.20E-06
55,SOM,Somalia,4.33E-05,3.84E-05,4.32E-05,3.95E-05,-4.90E-06,4.80E-06,-3.70E-06,-3.80E-06
29,ZAF,South Africa,6.95E-05,6.66E-05,6.43E-05,6.81E-05,-2.90E-06,-2.30E-06,3.80E-06,-1.40E-06
52,SSD,South Sudan,5.79E-05,4.92E-05,5.26E-05,5.17E-05,-8.70E-06,3.40E-06,-9.00E-07,-6.20E-06
53,SDN,Sudan,5.21E-05,4.90E-05,5.07E-05,4.95E-05,-3.10E-06,1.70E-06,-1.20E-06,-2.60E-06
31,TZA,Tanzania,5.27E-05,4.32E-05,4.96E-05,4.46E-05,-9.50E-06,6.40E-06,-5.00E-06,-8.10E-06
46,TGO,Togo,5.35E-05,5.06E-05,5.45E-05,5.17E-05,-2.90E-06,3.90E-06,-2.80E-06,-1.80E-06
47,TUN,Tunisia,6.39E-05,6.14E-05,6.36E-05,6.21E-05,-2.50E-06,2.20E-06,-1.50E-06,-1.80E-06
54,UGA,Uganda,4.99E-05,4.25E-05,4.76E-05,4.25E-05,-7.40E-06,5.10E-06,-5.10E-06,-7.40E-06
17,ESH,Western Sahara,5.10E-05,5.07E-05,5.14E-05,4.97E-05,-3.00E-07,7.00E-07,-1.70E-06,-1.30E-06
32,ZMB,Zambia,6.54E-05,5.42E-05,5.81E-05,5.84E-05,-1.12E-05,3.90E-06,3.00E-07,-7.00E-06
33,ZWE,Zimbabwe,6.07E-05,5.44E-05,5.46E-05,5.90E-05,-6.30E-06,2.00E-07,4.40E-06,-1.70E-06
